County,Force_2009,Employed_2009,Unemployed_2009,UnemployedPercent_2009,Force_2010,Employed_2010,Unemployed_2010,UnemployedPercent_2010,Force_2011,Employed_2011,Unemployed_2011,UnemployedPercent_2011,Force_2012,Employed_2012,Unemployed_2012,UnemployedPercent_2012,StayDays_2009,AvgStay_2009,Sev1_2009,Sev2_2009,Sev3_2009,Sev4_2009,Sev0_2009,AvgSev_2009,Charges_2009,AvgCharges_2009,DeltaPercent_2009,StayDays_2010,AvgStay_2010,Sev1_2010,Sev2_2010,Sev3_2010,Sev4_2010,Sev0_2010,AvgSev_2010,Charges_2010,AvgCharges_2010,DeltaPercent_2010,StayDays_2011,AvgStay_2011,Sev1_2011,Sev2_2011,Sev3_2011,Sev4_2011,Sev0_2011,AvgSev_2011,Charges_2011,AvgCharges_2011,DeltaPercent_2011,StayDays_2012,AvgStay_2012,Sev1_2012,Sev2_2012,Sev3_2012,Sev4_2012,Sev0_2012,AvgSev_2012,Charges_2012,AvgCharges_2012,DeltaPercent_2012
Cortland,24235,21995,2240,9.2,24200,22000,2200,9.1,24240,22165,2075,8.6,24324,22183,2141,8.8,23068,4.478353717724714,1869,1786,1227,269,0,1.9798097456804504,4.839586996000009E7,9395.431947194736,0.00,22032,4.565271446332367,1658,1680,1250,237,1,2.0132615002072107,4.6768216929999776E7,9690.886226688723,-0.04,23532,4.496846932925664,1715,1790,1452,276,0,2.0552264475444297,5.1471560529999845E7,9835.956531626189,0.07,18733,3.8254033081478456,1579,1845,1247,226,0,2.0245047988564426,4.371653044000011E7,8927.206542781318,-0.20
Delaware,22199,20276,1923,8.7,22105,20130,1975,8.9,21612,19725,1887,8.7,21566,19655,1911,8.9,5791,4.489147286821705,380,675,226,9,0,1.8945736434108527,1.1414377500000002E7,8848.354651162792,0.00,5820,4.166070150322119,417,700,269,11,0,1.9098067287043665,1.2354523420000002E7,8843.610178954905,0.01,5217,3.931424265259985,417,676,228,6,0,1.8666164280331574,1.141092406E7,8599.038477769405,-0.10,4703,4.712424849699399,340,495,155,8,0,1.8306613226452906,9890601.479999993,9910.422324649291,-0.10
Dutchess,144400,133175,11225,7.8,146725,135247,11478,7.8,145003,133965,11038,7.6,144874,133413,11461,7.9,179782,5.12974006334351,13268,13234,6821,1724,0,1.9144291950808914,7.449008599000463E8,21254.340168917348,0.00,175186,4.945962732919255,12641,13530,7164,2080,5,1.9625352907961604,7.338457060899712E8,20718.39938142211,-0.03,190011,5.376046853779991,12008,13532,7553,2251,0,2.0013297872340425,1.1641021645800183E9,32936.34462935769,0.08,169976,5.267307096374341,10711,12250,7174,2134,1,2.0225906414626587,1.1111837173100064E9,34433.95467338105,-0.11
Erie,469242,430674,38568,8.2,466301,427480,38821,8.3,461693,424825,36868,8,462497,423943,38554,8.3,716486,5.418769805555765,46895,48855,28462,8004,7,1.9815538900191343,2.8462578045900335E9,21526.192905848708,0.00,715241,5.521987863440545,42888,48476,29320,8841,1,2.03174652193382,2.9141315908500185E9,22498.429588268136,-0.00,694838,5.382168861347792,39770,48026,31269,10033,2,2.089550735863672,2.9443847249999433E9,22807.00793958128,-0.03,689809,5.340567031061286,37764,47833,32785,10782,0,2.1284026508934377,3.1990619206100307E9,24767.442326112778,-0.01
Essex,18289,16601,1688,9.2,18082,16356,1726,9.5,17691,16027,1664,9.4,17630,15877,1753,9.9,2048,2.9049645390070924,422,209,67,7,0,1.5163120567375887,5403362.3199999975,7664.343716312053,0.00,1887,2.9857594936708862,144,362,121,5,0,1.9794303797468353,4950965.540000003,7833.806234177219,-0.08,1743,3.169090909090909,110,309,128,3,0,2.0436363636363635,4579198.789999997,8325.815981818178,-0.08,1477,3.2749445676274944,100,233,117,1,0,2.0421286031042127,3999683.669999999,8868.478203991128,-0.15
Franklin,22962,20984,1978,8.6,22749,20673,2076,9.1,22393,20332,2061,9.2,22256,20097,2159,9.7,26527,4.150680644656548,2270,2613,1278,230,0,1.9167579408543265,7.149479439000005E7,11186.793051165709,0.00,26390,4.085771791298963,2183,2534,1460,280,2,1.97414460442793,7.58404411400001E7,11741.82398823349,-0.01,25812,4.120031923383879,2086,2395,1418,366,0,2.0102154828411813,8.025463776999985E7,12809.998047885052,-0.02,23458,3.985389058783554,2149,2072,1321,344,0,1.9762147468569486,8.119351297000016E7,13794.344711179097,-0.09
Fulton,27169,24524,2645,9.7,27217,24437,2780,10.2,26802,24086,2716,10.1,26698,23872,2826,10.6,16700,4.115327747658945,1944,1393,640,81,0,1.7185805815672746,5.23809319300002E7,12908.066025135584,0.00,16235,3.9482003891050583,1378,1715,890,129,0,1.9440661478599222,5.6023128819999926E7,13624.301755836557,-0.03,15927,4.122961428941237,1244,1571,927,121,0,1.980585037535594,6.0345700229999915E7,15621.460064716519,-0.02,14067,4.003130335799659,1049,1428,846,175,16,2.032726237905521,6.425635054999999E7,18285.8140438247,-0.12
Genesee,32997,30446,2551,7.7,32644,30085,2559,7.8,32008,29565,2443,7.6,31747,29253,2494,7.9,26600,5.0274050274050275,1906,1931,1230,224,0,1.9569079569079568,6.42399552599999E7,12141.363685503668,0.00,26503,5.062655205348615,1856,1887,1267,225,0,1.973447946513849,6.577528631999969E7,12564.524607449797,-0.00,28582,5.61311861743912,1644,1648,1444,356,0,2.100549882168107,7.042795514999981E7,13831.098811861708,0.08,23697,4.7394,1849,1559,1271,321,0,2.0128,6.3814452719999865E7,12762.890543999973,-0.17
Herkimer,31077,28572,2505,8.1,31444,28757,2687,8.5,30596,27957,2639,8.6,30291,27570,2721,9,4088,3.8933333333333335,289,621,134,6,0,1.8638095238095238,9845369.300000008,9376.542190476199,0.00,4418,3.94816800714924,313,644,154,8,0,1.872207327971403,1.058608327999999E7,9460.306773905264,0.08,3963,3.908284023668639,277,588,141,8,0,1.8816568047337279,9683077.170000004,9549.385769230772,-0.10,3670,3.963282937365011,251,537,129,9,0,1.8876889848812095,1.0059435679999981E7,10863.321468682485,-0.07
Jefferson,49369,44949,4420,9,49807,45046,4761,9.6,48850,43984,4866,10,48149,43267,4882,10.1,58935,4.922736384898095,5435,3802,2222,512,1,1.8169896424991647,1.651954198799996E8,13798.481446708955,0.00,60357,4.9844743579156,5530,3720,2316,541,2,1.823602279296391,1.7171895597E8,14181.101327112065,0.02,55992,4.879051934471941,5043,3717,2217,499,0,1.8407110491460439,1.646525107299999E8,14347.55234663645,-0.07,52990,4.443605870020964,5326,3809,2299,491,0,1.8285115303983228,1.6367759358999988E8,13725.584368134163,-0.05
