County,Force_2009,Employed_2009,Unemployed_2009,UnemployedPercent_2009,Force_2010,Employed_2010,Unemployed_2010,UnemployedPercent_2010,Force_2011,Employed_2011,Unemployed_2011,UnemployedPercent_2011,Force_2012,Employed_2012,Unemployed_2012,UnemployedPercent_2012,StayDays_2009,AvgStay_2009,Sev1_2009,Sev2_2009,Sev3_2009,Sev4_2009,Sev0_2009,AvgSev_2009,Charges_2009,AvgCharges_2009,StayDays_2010,AvgStay_2010,Sev1_2010,Sev2_2010,Sev3_2010,Sev4_2010,Sev0_2010,AvgSev_2010,Charges_2010,AvgCharges_2010,StayDays_2011,AvgStay_2011,Sev1_2011,Sev2_2011,Sev3_2011,Sev4_2011,Sev0_2011,AvgSev_2011,Charges_2011,AvgCharges_2011,StayDays_2012,AvgStay_2012,Sev1_2012,Sev2_2012,Sev3_2012,Sev4_2012,Sev0_2012,AvgSev_2012,Charges_2012,AvgCharges_2012
Montgomery,24357,22024,2333,9.6,24043,21637,2406,10,23700,21334,2366,10,23686,21228,2458,10.4,35851,5.034545709872209,1943,2632,2070,476,0,2.1515236624069654,81086681,11386.97949726162,2010,34467,4.927376697641172,1796,2736,2039,424,0,2.1559685489635454,82949624,-0.04,2011,33237,4.888513016620092,1870,2624,1893,412,0,2.1245771436976026,12847.861744374173,-0.04,2012,31562,4.857186826715912,1767,2489,1783,459,0
Nassau,690713,642355,48358,7,688309,639362,48947,7.1,684833,638050,46783,6.8,691336,642463,48873,7.1,1197706,5.498124761865414,86623,76297,42248,12664,7,1.912499598327205,-658900282,-3024.7122048852593,2010,1174442,5.444894666567762,81594,76479,44205,13417,1,1.9510561160151325,-283870391,-0.02,2011,1155106,5.434284128171472,77266,75903,44966,14416,8,1.9836092567240156,999.728244863779,-0.02,2012,1085165,5.4363715608280065,72388,70880,42333,14005,6
Niagara,113353,102704,10649,9.4,112135,101754,10381,9.3,110464,101020,9444,8.5,110773,100810,9963,9,121295,5.26522550679342,8688,9030,4366,953,0,1.8951252333203108,261354187,11344.974909927509,2010,114570,5.342504080205176,7709,8454,4284,998,0,1.933364420610865,253700840,-0.06,2011,116095,5.327658207516865,7168,8953,4632,1038,0,1.978890367582947,12032.607360837043,0.01,2012,109613,5.189272357146239,6967,8912,4213,1031,0
Oneida,110281,102034,8247,7.5,109365,100702,8663,7.9,107085,98201,8884,8.3,105982,96844,9138,8.6,181194,4.886701367350792,12290,14299,8684,1805,1,2.0000539388872407,611988811,16504.997734566736,2010,179180,4.9163145475498,10827,14606,9145,1868,0,2.056357350600889,644013671,-0.01,2011,161271,4.741451797842002,9287,13376,9297,2052,1,2.1208949519301443,18571.691029900332,-0.10,2012,165091,4.828634103539047,9222,13720,9118,2129,1
Onondaga,232913,214871,18042,7.7,231017,212169,18848,8.2,227908,210031,17877,7.8,226856,208464,18392,8.1,390026,5.358604107989284,24671,27112,16491,4507,4,2.0113484921343683,1587340921,21808.62706601635,2010,419856,5.505947151006492,25051,28276,17991,4934,3,2.0367451314667893,1798804681,0.08,2011,424354,5.429993602047345,25199,29040,18832,5078,1,2.0484580934101086,25193.02957133717,0.01,2012,431410,5.344921574943628,24646,29745,20308,6014,1
Ontario,56776,52601,4175,7.4,56750,52418,4332,7.6,56654,52520,4134,7.3,56617,52376,4241,7.5,64206,4.628460207612457,4537,5612,3110,613,0,1.9855103806228374,147084109,10602.949034025374,2010,63353,4.85277671390272,4084,5281,3082,608,0,2.0163921869015704,145847417,-0.01,2011,59541,4.69603281015853,3780,4827,3243,829,0,2.0884139127691457,11163.536241028472,-0.06,2012,56521,4.678116205926171,3564,4573,3116,829,0
Orange,179937,165660,14277,7.9,175986,161378,14608,8.3,174406,160456,13950,8,174281,159796,14485,8.3,207549,4.773765439197737,17190,15101,8721,2464,1,1.9185086367504658,1328567997,30557.950111553237,2010,207405,4.828874764266257,15610,14766,9541,3029,5,1.9995110707550465,1375708290,-0.00,2011,200934,4.790073424239535,14872,14477,9520,3078,1,2.019118909125584,33251.399613807574,-0.03,2012,187269,4.7038330151713055,13317,13546,9655,3294,0
Orleans,19322,17497,1825,9.4,19345,17404,1941,10,19006,17238,1768,9.3,19188,17191,1997,10.4,10569,4.639596136962248,748,1051,443,35,1,1.8959613696224757,14359092,6303.37664618086,2010,11722,4.642376237623762,787,1191,488,59,0,1.9283168316831683,17490544,0.11,2011,12080,4.7765915381573745,597,1251,599,82,0,2.065638592328984,7013.29418742586,0.03,2012,10416,4.9411764705882355,324,1030,661,93,0
Oswego,59861,53908,5953,9.9,58487,52144,6343,10.8,57706,51676,6030,10.4,57345,51290,6055,10.6,30366,4.39768283852281,2977,2441,1274,213,0,1.815061549601738,67155719,9725.665314989139,2010,29727,4.400740192450037,2731,2458,1314,251,1,1.8642487046632124,69155972,-0.02,2011,27352,4.345035742652899,2439,2272,1288,291,5,1.908022239872915,10127.106910246228,-0.08,2012,26574,4.346418056918548,2428,2231,1128,327,0
Otsego,31541,29136,2405,7.6,31681,29255,2426,7.7,31470,29011,2459,7.8,31339,28832,2507,8,62869,4.519373157932572,4951,5166,3011,783,0,1.9731148012364317,186315856,13393.41930846093,2010,66287,4.634482276445501,4731,5521,3237,814,0,2.009368663916661,203949560,0.05,2011,65943,4.853389269154339,4196,5209,3317,865,0,2.062633399573121,15108.194744976816,-0.01,2012,64685,4.8925951138340515,4132,5022,3270,797,0
Putnam,54834,51110,3724,6.8,54324,50568,3756,6.9,53869,50212,3657,6.8,53785,50169,3616,6.7,42452,4.924825986078886,3128,3239,1808,445,0,1.9501160092807424,271604590,31508.65313225058,2010,41105,5.079080687013469,2573,3108,1910,502,0,2.0421351785493638,268993219,-0.03,2011,37277,5.0333513367539835,2215,2846,1785,560,0,2.093167701863354,35963.16095058061,-0.09,2012,34160,4.864018225829418,2065,2767,1685,506,0
Queens,1131719,1037433,94286,8.3,1121931,1024418,97513,8.7,1119179,1028127,91052,8.1,1132491,1038514,93977,8.3,1193569,5.419573815005017,100402,75529,33782,10512,8,1.7928920733949953,799338933,3629.514800234297,2010,1166403,5.275454545454545,94585,78003,37208,11296,8,1.842600633197648,1049420730,-0.02,2011,1146309,5.3434253031087,87696,76970,37979,11873,9,1.8788544099344138,6219.098509744694,-0.02,2012,1116213,5.355800049901157,84667,74603,37314,11821,7
Rensselaer,83635,77349,6286,7.5,83156,76601,6555,7.9,81677,75444,6233,7.6,82325,75843,6482,7.9,89894,5.319486360139654,5723,6914,3516,723,23,1.9522456950115392,264503241,15652.005503284217,2010,84507,5.404988807163416,5020,6306,3531,764,14,2.0007035497281738,254129560,-0.06,2011,80916,5.4236879147395936,4426,6073,3582,838,0,2.0557678128560894,17506.48803539111,-0.04,2012,76264,5.489778289663115,3972,5458,3479,983,0
